Sang valgt,Sang og kunstner,link,starttidspunkt (i sek),citat / shoutout,citat-sang connection? (x=ja),kommentar,Optaget,,,0,
X,farkrop,https://www.youtube.com/watch?v=SjTMf7KLyQk,42,Skud u til Michael Pedersen,,,,,123,9124,111
X,numb,https://www.youtube.com/watch?v=kXYiU_JCYtU,0,Skud ud til kanten,,,,,61,9214,112
X,ældgamle traditioner,https://www.youtube.com/watch?v=St32aLCNMmQ,38,pls giv os 3 smatsøer for 100 tilbage!!!!!!!!,,,,,5,9255,113
X,girls like - tinie tempah,https://www.youtube.com/watch?v=OEiva3cMv6k,4,,,,,,32,9270,114
X,5 frikadeller,https://www.youtube.com/watch?v=KdnW1IsrhrI,40,Skud ud til flæsk,,,,,49,9285,115
X,unz,https://www.youtube.com/watch?v=Oktjs-HMNIc,0,du ved det,,,,,3,9288,116
X,all star,https://www.youtube.com/watch?v=L_jWHffIx5E,37,Shrek er da meget lækker,,,,,1,9433,117
X,billige bajer,https://www.youtube.com/watch?v=bUw7-eEaBlc,5,Skud ud til varme harboe på bænken,,,,,11,9537,118
X,Puff remix,https://www.youtube.com/watch?v=gxjxELWeaok,19,Skud ud til drager,,,,,56,9595,119
X,friske piger,https://www.youtube.com/watch?v=7TrHsMiluRM,15,,,,,,119,9742,120
X,Midnatsdak,https://www.youtube.com/watch?v=5oE_5PRJHDw,17,,,,,,94,10000,33
X,Congratulations - Pewdiepie,https://www.youtube.com/watch?v=PHgc8Q6qTjc,14,Så er man sgu færdig,,,,,100,10001,92
,bom tjikke bom - Kaj og Andrea ,,,,,,,,,,
,the next episode san holo remix - Dr dre,https://www.youtube.com/watch?v=vZv9-TWdBJM,,skud ud til sm-kids,,,,,,,
,du ved det - Rasmus Ørtoft,,,,,,,,,,
,næ - pattesutter,lortesang,,,,,,,,,
,roskilde sangen - jesu brødre,,,,,,,,,,
,boten anna - basshunter,,,,,,,,,,
,tri poloski - davay,,,,,,,,,,
,left outside alone - anastacia,,,,,,,,,,
,basken 2018,,,,,,,,,,
,cotton eye joe,,,,,,,,,,
,without you - avicii,,,,,,,,,,
,vilde kaniner - gnags,,,,,,,,,,
,køb bananer - kim larsen,,,Skud ud til dyre citroner,,,,,,,
,walkman - hej matematik,,,,,,,,,,
,Bussesangen,https://www.youtube.com/watch?v=pohiae0vBwY&t=16s,,,,,,,,,
,i want it that way - backstreet boys,,,,,,,,,,
,technopik - pattesutter,,,,,,,,,,
,jeg tænker på dig - marvelous mosell,,,,,,,,,,
,freed from desire - funkhouse,,,,,,,,,,
,pusuit of happiness - kid cudi,,,,,,,,,,
,molly - tyga,,,,,,,,,,
,Jodlesangen MDS Remix - basme og kylling,https://www.youtube.com/watch?v=3QIR60h3s84,7,,,,,,,,
,Drop it like its hot - snoop dog,,,,,,,,,,
,Death grips - gillutione,,,,,,,,,,
,tyler - EARFQUAKE,,,,,,,,,,
,crab god - eminem,,,,,,,,,,
,Fireball - Pitbull,https://www.youtube.com/watch?v=HMqgVXSvwGo,92,Skud ud til Fernet ball,x,,,,,,
,Ulovlig - Tix,,,,,,,,,,
,Despacito 2 - FlyingKitty,https://www.youtube.com/watch?v=W3GrSMYbkBE,,,,,,,,,
,Stoledans på Terrassen - Fuck Dig Crew,https://www.youtube.com/watch?v=ByYCaDesNX8,11,,,,,,,,
,Gangster-Fantasi - Klarup G's,https://www.youtube.com/watch?v=5ewLGI_VSyg,50,Skud ud til tagbokse,,,,,,,
,Call me (nightcore) - Marc Korn,https://www.youtube.com/watch?v=IbrwOkoxwD8,12,Skud ud til waifuer,,,,,,,
,Spooky Scary Skeletons (remix),https://www.youtube.com/watch?v=q6-ZGAGcJrk,6,,,,,,,,
,STFU - Pink Guy,https://www.youtube.com/watch?v=OLpeX4RRo28,64,,,,,,,,
,I Kill People - JonLajoie,https://www.youtube.com/watch?v=xC03hmS1Brk,18,,,,,,,,
,She won't a Young Nigga - Young Nigga,https://www.youtube.com/watch?v=J4K4oNOEErw&t=47s,52,Skud ud til N-word passes,,,,,,,
,Kids - MGMT,https://www.youtube.com/watch?v=fe4EK4HSPkI,70,Skud ud til børn,,,,,,,
,Vafler - Daddy D. og Jesu Bankers (og Sidney Lee),https://www.youtube.com/watch?v=b7_aRsk5CJ4,68,,,,,,,,
,Remoulade - Alle mulige ft. Futte Fynbo,https://www.youtube.com/watch?v=Zq8jTO5yQZI,16,,,,,,,,
,Knap Én Bajer Op - De Glade Sømænd,https://www.youtube.com/watch?v=C9wpL07sr-E,,,,,,,,,
,Det Dælme Gur - Pattesutter,https://www.youtube.com/watch?v=Q7cJy4hpy0A,,,,,,,,,
,Come Along With Me,https://www.youtube.com/watch?v=kw2NFh95aHQ,42,,,,,,,,
,Kirin J Callinan - big enough,https://www.youtube.com/watch?v=rvrZJ5C_Nwg,127,,,,,,,,
,Slope theme,https://www.youtube.com/watch?v=yEnVcLpTri0&t,,,,,,,,,
,Through the Fire and Flames - Dragonforce,https://www.youtube.com/watch?v=15JCb6P60Vw,,,,,,,,,
,Kahoot theme - OG version,,,,,,,,,,
,Mambo nr 5,,,"Ladies and gentlemen, this is Bong nr 5",,,,,,,
,Boogie - Brockhampton,,,,,,,,,,
,Vi ejer pvp,,,,,,,,,,
,I Am Groot,https://www.youtube.com/watch?v=nzdL4l8zgQ4,4,,,,,,,,
,Diggy Diggy Hole,https://www.youtube.com/watch?v=ytWz0qVvBZ0,32,,,,,,,,
,OFFICIAL YEET SONG YOU CAN YEET TO,https://www.youtube.com/watch?v=IOolteObC4I,3,,,,,,,,
,One Punch Man introen,https://www.youtube.com/watch?v=atxYe-nOa9w,9,,,,,,,,
,Brain Power,https://www.youtube.com/watch?v=h-mUGj41hWA,,,,,,,,,
,100 % Nigga,https://www.youtube.com/watch?v=D2vuMLg6BHE,3,,,Måske kontroversiel i 20 19?,,,,,
,Loose yourself - Eminem (Moms spagethii remix) ,,,,,,,,,,
,Bedre - KIDD,,,,,,,,,,
,Flower Garden - Yoshi's Island,https://www.youtube.com/watch?v=oL5fbozc3kU&t,,,,,,,,,
,MEGALOVANIA - Sans,https://www.youtube.com/watch?v=-BTrspwpooo,,,,er nok allerede på den gamle,,,,,
,Aagards bundesang,https://www.youtube.com/watch?v=t-QSmNReDyI,,,,Nok også på den gamle,,,,,
,Chop Suey! - System of a Down,https://www.youtube.com/watch?v=CSvFpBOe8eY,44,,,,,,,,
,Bring Me To life - Evanescence,https://www.youtube.com/watch?v=3YxaaGgTQYM,16,,,,,,,,
,The Kids Aren't Alright - The Offspring,https://www.youtube.com/watch?v=7iNbnineUCI,19,Stakkels kiddere..,,,,,,,
,You're Gonna Go Far Kid - The Offspring,https://www.youtube.com/watch?v=ql9-82oV2JE,18,,,,,,,,
,Shorty Ringer - Josef og Elias,https://www.youtube.com/watch?v=bVu3iucv3dc,18,,,,,,,,
,Nedadgående Dabtsunami - Jesu Brødre,https://www.youtube.com/watch?v=0t2S5pS6eMU&t,481,,,,,,,,
,JOHNY JOHNY YES PAPA (EDM remix) - memes,https://www.youtube.com/watch?v=kOTRybt4wQQ,,,,,,,,,
,Mii Channel ,https://www.youtube.com/watch?v=Um4OQ6KP1m4,,,,,,,,,
,Sovjets nationalsang,https://www.youtube.com/watch?v=U06jlgpMtQs,1,,,,,,,,
,Sea of Love - Techno Kitten Adventure,https://www.youtube.com/watch?v=PyN6aslxHzQ,58,,,,,,,,
,"Techno, Cult Shaker og Mokai",https://www.youtube.com/watch?v=bzJcBUp63oU,63,,,,,,,,
,THANOS THANOS YES PAPA - Grandayy,https://www.youtube.com/watch?v=aExqW1ndJDs,,,,,,,,,
,Sandstorm - Darude,https://www.youtube.com/watch?v=y6120QOlsfU,1,,,,,,,,
,Smølfe Dr. Mogens - Smølferne,https://www.youtube.com/watch?v=bN2qPC6W8WM,10,,,,,,,,
,Hindbærsaft - Johnny Reimar og Smølferne,https://www.youtube.com/watch?v=SQtjxtL8VoI,,,,,,,,,
,Globglogabgalab,https://www.youtube.com/watch?v=g4QeypcBMyQ,2,,,,,,,,
,Zin zin zin,https://www.youtube.com/watch?v=Kx-kBDmYXbA,,,,,,,,,
,Get down on it,https://www.youtube.com/watch?v=qchPLaiKocI,,,,,,,,,
,Lemon tree,https://www.youtube.com/watch?v=bCDIt50hRDs,,,,,,,,,
,Tunak Tunak,https://www.youtube.com/watch?v=vTIIMJ9tUc8,,,,,,,,,
,Kernkraft,https://www.youtube.com/watch?v=trS2nrkN0_k,,,,,,,,,
,Drenge som mig,https://www.youtube.com/watch?v=SFiKwFukh44,,,,,,,,,
,Rise,https://www.youtube.com/watch?v=btrzs54s1Rc&feature=youtu.be,,,,,,,,,
,Around the World,https://www.youtube.com/watch?v=yca6UsllwYs,,,,,,,,,
,Lollipop Candyman,https://www.youtube.com/watch?v=y5JTdayfCT4,,,,,,,,,
,Min tesla,https://www.youtube.com/watch?v=FBJZaMn03mE,,,,,,,,,
,Drukspil - Johny Cola,https://www.youtube.com/watch?v=Rh8GAIH99qc,,,,,,,,,
,What is love? - Haddaway,https://www.youtube.com/watch?v=HEXWRTEbj1I,,,,,,,,,
,børn er dumme og grimme,https://www.youtube.com/watch?v=clf5pqZod1A,,,,,,,,,
,under the sea,https://www.youtube.com/watch?v=GC_mV1IpjWA,,,,,,,,,
,Six shooter - Coyote kisses,https://www.youtube.com/watch?v=xkFZn4oPMqE,,,,,,,,,
,la puissance,https://www.youtube.com/watch?v=bWHR0fS9jvQ,,,,,,,,,
,pans labyrint,https://www.youtube.com/watch?v=O40MWtsN4Fk,,,,,,,,,
,graf graffitit,https://www.youtube.com/watch?v=MVJKzw-iqk4,,,,,,,,,
,jeg kommer - daimi,https://www.youtube.com/watch?v=Nh3JD3n4doU,,,,,,,,,
,Human - The killers,https://www.youtube.com/watch?v=RIZdjT1472Y,,,,,,,,,
,Flytta på dig - Alina Devecerski,https://www.youtube.com/watch?v=xfcDvOzU6pQ,,,,,,,,,
,kig forbi - johnson,https://www.youtube.com/watch?v=GKmfUoqRxno,,,,,,,,,
,Latch - Disclosure,https://www.youtube.com/watch?v=93ASUImTedo,,,,,,,,,
