Nummer 1 - Ny Kvalitet,https://www.youtube.com/watch?v=pUthPimrFKg&list=OLAK5uy_kzZNMWT_5-NY88fPbuT3CglCaDtIeWoHc,0,Et fra tullefar tak,
MILLION DOLLAR BABY - Tommy Richman,https://www.youtube.com/watch?v=bUX8MDNQda4,64,,
Copacabana,https://www.youtube.com/watch?v=f_-_9GGl0_I,9,,
BongoTrommer - Hugo,https://www.youtube.com/watch?v=DXQBopy-gsw,5,,
Jeg tager imod,https://www.youtube.com/watch?v=zgpNAWKWKUU,0,"please sig: ""Godmorgen, vågn ooooooh og fade det ind i sangen. Og brug det som nummer 1 sang",
Cure for me - Aurtora,https://www.youtube.com/watch?v=K17df81RL9Y,3,,
Love yourself - Justin Biebs,https://www.youtube.com/watch?v=HDe7GYpxq9g,4,,
Torn - Natalie imbruglia,https://www.youtube.com/watch?v=fQuC32gH8Rw,27,,
Regndans - Danseorkestret,https://www.youtube.com/watch?v=fnwQHGGoAZE,10,,
Paint the town red - Toad,https://www.youtube.com/watch?v=R70bfg1Uiq0,0,,
Beat goes on,https://www.youtube.com/watch?v=AYmi8vqiRi0,30,,
Kiss from a rose,https://youtu.be/vx-Lzo9NxAQ?si=Q82ISXtRsBKP_D-l,0,,
Min kat den danser tango,https://www.youtube.com/watch?v=VFcJzqgt0-I,6,,
Bacane - Yame,https://www.youtube.com/watch?v=lukT_WB5IB0,24,,
365 - CharliXCX,https://www.youtube.com/watch?v=Ol9CCM240Ag,40,,
BING BONG REMIX,https://soundcloud.com/borateng98/bing-bong-x-tokyo-drift-x,33,,
Skrillex-WHERE ARE U NOW,https://www.youtube.com/watch?v=nntGTK2Fhb0,32,,
Zar Paulo-Klam for fædrelandet,https://www.youtube.com/watch?v=-gAREtmYG1E,26,,
Jungle-Candle Flame,https://www.youtube.com/watch?v=esqRBsVumrw,31,,
Medina-Kun for mig,https://www.youtube.com/watch?v=Pmr-EFuIkP8,208,,
The Spark,https://www.youtube.com/watch?v=nV6uRftA-hM&t=0s,5,,
Sleeping my day away,https://www.youtube.com/watch?v=3oQpVpxyvTQ,30,,
Pure water - DJ losing it 2900,https://soundcloud.com/frederik-c-gade/migos-pure-water-remix,69,,
Teenage Dirtbag,https://www.youtube.com/watch?v=FC3y9llDXuM,8,,
VLTJ x STORMAND,https://soundcloud.com/heyshorty-mashups/vltj-torfisk-stor-mand-mashup-1,0,,
The Boys are back In town,https://youtu.be/hQo1HIcSVtg?si=7aRha5-hjpTS0b62,12,,
Dicko Mode,https://www.youtube.com/watch?v=3LnA09-ylmQ,22,,
Sidney Samson - Riverside,https://www.youtube.com/watch?v=yRNb4GcRhoQ&ab_channel=Bart93Raamsdonksveer,0,,
Daisy - Ashnikko,https://www.youtube.com/watch?v=6i01tOMgBDU,0,,
Lovesick - Mura Masa,https://www.youtube.com/watch?v=ZJM4AQSbZDk,28,,
Wanna be - Ceo@buisness.net,https://www.youtube.com/watch?v=z2mNX-CpQe8,68,,
Sharp dressed man - ZZtop,https://www.youtube.com/watch?v=7wRHBLwpASw,0,,
Like a G6 Freestyle,https://www.youtube.com/watch?v=ekD1dTsM3Ng,5,,
DET SKAL SGU VÆRE HÅRDT,https://soundcloud.com/magnus-vagner-johannesen/jamen-det-skal-sku-vaere-hardt,30,,
Rhabarberbbar,https://www.youtube.com/watch?v=ZYkBf0dbs5I,0,,
Give it to me,https://soundcloud.com/sophie-finderup/give-it-to-me,0,,
AK-47,https://www.youtube.com/watch?v=iMscgpHUD5w,14,,
Nu her - benal,https://www.youtube.com/watch?v=K-z4zqyf4oA,17,,
Den flotteste fyr i byen,https://www.youtube.com/watch?v=Jk6DsjLh85A,0,,
Makeba,https://www.youtube.com/watch?v=59Q_lhgGANc,7,,
55 fries 55 burgers,https://www.youtube.com/watch?v=TotjQAfzMpo,4,,
Marc Rebillet - Wake up,https://on.soundcloud.com/DbNHU,42,,
Immigrant song,https://www.youtube.com/watch?v=P3Y8OWkiUts,5,,
